symbol,date,adjOpen,adjHigh,adjLow,adjClose,volume
"SLXX.L","2025-12-31","122.03","122.09","121.46","121.69","8108",
"SLXX.L","2025-12-30","121.72","122.15","121.52","121.52","12274",
"SLXX.L","2025-12-29","121.93","121.93","121.37","121.66","15540",
"SLXX.L","2025-12-24","121.9","121.9","121.16","121.46","4214",
"SLXX.L","2025-12-23","121.24","121.7","120.99","121.45","31514",
"SLXX.L","2025-12-22","121.48","121.64","120.99","120.99","9007",
"SLXX.L","2025-12-19","121.28","121.53","120.91","121.14","24726",
"SLXX.L","2025-12-18","121.92","121.92","121.19","121.29","19850",
"SLXX.L","2025-12-17","121.21","121.64","121.04","121.27","16132",
"SLXX.L","2025-12-16","121.14","121.4","120.45","121.09","11864",
"SLXX.L","2025-12-15","120.51","121.54","120.51","121.19","36939",
"SLXX.L","2025-12-12","121.1","121.72","120.85","120.95","27125",
"SLXX.L","2025-12-11","120.99","121.43","120.99","121.13","17212",
"SLXX.L","2025-12-10","121.43","121.43","120.65","120.99","10082",
"SLXX.L","2025-12-09","120.72","121.11","120.63","120.89","14136",
"SLXX.L","2025-12-08","120.88","121.41","120.67","120.79","14509",
"SLXX.L","2025-12-05","121.17","121.57","121.17","121.21","97734",
"SLXX.L","2025-12-04","121.38","121.74","121.2","121.41","27917",
"SLXX.L","2025-12-03","120.88","121.45","120.88","121.32","23723",
"SLXX.L","2025-12-02","121","121.16","120.65","121.09","20005",
"SLXX.L","2025-12-01","121.28","121.28","120.61","120.95","30383",
"SLXX.L","2025-11-28","120.93","121.21","120.41","121.01","6352",
"SLXX.L","2025-11-27","120.49","120.97","120.49","120.92","15181",
"SLXX.L","2025-11-26","120.48","120.93","119.98","120.92","17090",
"SLXX.L","2025-11-25","119.71","120.75","119.54","120.28","6058",
"SLXX.L","2025-11-24","120.2","120.56","119.81","119.93","29954",
"SLXX.L","2025-11-21","119.78","120.18","119.75","119.97","11289",
"SLXX.L","2025-11-20","119.13","120.05","119.11","119.73","8055",
"SLXX.L","2025-11-19","120.25","120.36","119.35","119.37","54135",
"SLXX.L","2025-11-18","119.98","120.29","119.68","119.68","17820",
"SLXX.L","2025-11-17","119.84","120.1","119.62","120.03","11874",
"SLXX.L","2025-11-14","120.18","120.38","119.62","119.62","40858",
"SLXX.L","2025-11-13","120.81","121.23","120.62","120.64","9840",
"SLXX.L","2025-11-12","120.97","121.28","120.38","120.89","13494",
"SLXX.L","2025-11-11","120.7","121.21","120.44","121.14","9047",
"SLXX.L","2025-11-10","121.01","121.01","120.01","120.52","31369",
"SLXX.L","2025-11-07","120.67","121.05","120.26","120.49","18878",
"SLXX.L","2025-11-06","121.08","121.08","120.34","120.72","10504",
"SLXX.L","2025-11-05","120.87","121.39","120.44","120.51","9942",
"SLXX.L","2025-11-04","121.3","121.46","120.73","120.98","12198",
"SLXX.L","2025-11-03","120.95","121.19","120.77","120.77","14054",
"SLXX.L","2025-10-31","120.5","121.14","120.5","120.94","326162",
"SLXX.L","2025-10-30","121.17","121.17","120.57","121.02","14436",
"SLXX.L","2025-10-29","121.28","121.61","120.96","121.19","27053",
"SLXX.L","2025-10-28","120.82","121.33","120.74","120.95","19695",
"SLXX.L","2025-10-27","120.48","121.02","120.07","120.87","20133",
"SLXX.L","2025-10-24","120.61","120.96","120.39","120.59","17204",
"SLXX.L","2025-10-23","120.38","120.94","119.99","120.6","12691",
"SLXX.L","2025-10-22","120.77","120.81","120.1","120.37","21029",
"SLXX.L","2025-10-21","120.3","120.43","119.62","119.93","177975",
"SLXX.L","2025-10-20","119.78","120.11","119.5","119.68","17035",
