,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
SONIA,-0.3505267849154523,-0.24239286730195034,0.15125460094126075,0.3444216340677242,-0.31578603319846404,-0.04897838074145829,-0.1412209147889274,-0.05965603449671548,0.13967893731685743,-0.004263998127306516,-0.06027521685997181,0.2645030726889312,-0.07983361369040017,0.6505984137649123,0.16874684750103036
SONIA_EFFR_spread,0.21554506167756138,0.02592694183524955,0.1696506075665866,0.25709457947129444,-0.24962666984162912,0.5315722039559694,-0.541904188372569,0.1255320694628483,0.016595201982449813,0.0045173423688960376,-0.3618652591372231,-0.19105119120920377,0.00974991659525028,-0.18594148328291238,-0.035722679843230215
slope,0.4651698794551638,-0.024574588465398558,0.11700996370779942,0.11565708277716413,-0.09441016121676192,-0.11127202987543562,-0.05425929657650828,-0.242145201596862,0.15766048002222965,-0.10915978076144935,0.15961889709899782,0.34117806196099687,0.7031114756995305,-0.006506639695715292,-0.0032614044938394124
slope_change,-0.014046329457203436,-0.03993122862094013,0.16554512121188072,0.4794971711381461,0.5388200695113498,0.20189872414645255,0.22448580080634184,-0.3324775785993724,0.08427232201522089,-0.45644969264624163,-0.04809288114982237,-0.14549925326521745,-0.09963054055796136,0.0016429997633482345,-0.00021912349800077495
butterfly,0.452680321862767,0.10711387101585462,0.11352098339367671,-0.030144895636924237,0.026392490631349488,-0.05811858180689115,-0.1916906873639624,-0.30177043163834333,0.12289350391510773,0.14831080655397313,0.19985924360105117,0.357462108737707,-0.6575697914985235,-0.023574998119824813,0.012279005472136909
butterfly_change,-0.025384520044846454,0.1943249603294579,0.4681117713978253,0.2877301260621566,0.25226590064815196,-0.04409464344039713,0.1638640240951391,0.08237236032547894,-0.3335751970723212,0.6475680463576134,-0.08776111960109782,0.09176185901908877,0.11703942539444312,0.004337731438363655,0.001025164214945605
swap_spread,0.29492002967317976,-0.1253985989841021,0.14884352553429728,0.3240698305819928,-0.38422963118121317,-0.07345839537045733,0.25487855373195584,0.29109951940640527,-0.21442920678123883,-0.12594091711574487,0.5083543891604321,-0.3591008766849442,-0.133343056747159,0.019200005754640793,-0.004850738219702477
IG_gilt_spread,0.12067336500368706,-0.4695390707920643,-0.32059464954872985,0.06417038630416512,0.12418532316830903,0.3050574520746165,0.1420217338122134,0.020959266365110182,0.035381692112355055,0.29762652127404454,0.07252241642754571,0.06323089262920595,0.022469107706155504,-0.14120867007850949,0.6398788312066563
HY_IG_spread,-0.06590612492403423,0.10829046525533852,0.5856423837628805,-0.2802016898816628,0.09048134915655841,-0.1345527719577001,-0.06815486534994816,0.2854193557714084,0.34994648563021763,-0.1999900976750597,0.045547436140823405,-0.07493766970070553,-0.00224314792759877,-0.11384868301613293,0.5166464867435143
inflation,-0.3513615275874485,0.10929404311716401,0.1129828767233297,-0.15846877847199947,-0.0073354789638169215,0.3491238679598563,-0.2576023003660836,-0.40777494789516805,-0.027247083390963142,0.16182317861499418,0.61643722790831,-0.21713748525252127,0.13421392823080847,0.007423311796335745,-0.0007713229747795631
inflation_change,0.007021755537161509,0.058309279707147076,0.25476831990324544,-0.30860797007562324,-0.38812013573571175,0.4533476883097337,0.5720583301442028,-0.22286729866843968,-0.1107788167810562,-0.10205973092773755,-0.20147996257985712,0.19452113799325924,-0.046888816071024,-0.0008043537353407375,-0.0017387458014081073
S&P_500_HY_spread,-0.06341848410740608,0.47790619618609337,-0.1961185276505482,0.1756582231281624,-0.22523300315277522,-0.23543090096146993,-0.08320478644799674,-0.29535261407551705,-0.4021022740161086,-0.17019890521279799,-0.12627612455376494,-0.04425252626437855,0.00196682828817075,-0.11997071454487052,0.5244015300651504
S&P_500_ERP,0.39982011595545397,0.2398547702147729,-0.10113393267649119,-0.2640876293094349,0.23475124685267942,0.18048595959875857,-0.02159483733235065,0.07185512839799695,-0.11668530943531666,0.006212605980249194,-0.05171503449343876,-0.2757197344735445,0.06709879554210618,0.7027147222367154,0.13663925464043772
VIX,-0.12353666591412875,0.4060810596363021,-0.1958099253105787,0.1573095446803327,0.11815813023384883,0.3528151569749614,0.011436848757525478,0.48594078803331786,-0.027054886790355212,-0.18992965070659035,0.28933892069391554,0.5113404590377433,0.005370637851508981,0.0009466667682870446,0.004342884217143057
VIX_change,0.00026122800553291274,0.41838893864803656,-0.20642704445582102,0.23438639765677072,-0.18071797924655333,0.010572741419354766,0.28027420657393776,-0.050290881543397115,0.6805425839333917,0.30370643144819154,-0.03604416789569379,-0.2382489092587978,0.010301464141241072,0.0004281051404580389,-0.002027776362921667
